MSOA Code,MSOA Name,Total population,Local Authority English Name,Proportion of Population in 10% Most Deprived LSOAs,Proportion of Population in 20% Most Deprived LSOAs,Proportion of Population in 30% Most Deprived LSOAs,Proportion of Population in 40% Most Deprived LSOAs,Proportion of Population in 50% Most Deprived LSOAs,Proportion of Population in 60% Most Deprived LSOAs,Proportion of Population in 70% Most Deprived LSOAs,Proportion of Population in 80% Most Deprived LSOAs,Proportion of Population in 90% Most Deprived LSOAs,WIMD 2019 rank,MSOA HoCL English Name,MSOA HoCl Welsh Name
W02000405,Cardiff 039,7794,Cardiff,1,1,1,1,1,1,1,1,1,410,Ely East,Dwyrain Trelái
W02000186,Swansea 019,9104,Swansea,0.8499560632688928,1,1,1,1,1,1,1,1,409,Townhill,Townhill
W02000045,Denbighshire 004,9458,Denbighshire,0.6703319940790865,0.8275533939522097,0.8275533939522097,0.8275533939522097,0.8275533939522097,1,1,1,1,408,Rhyl North,Gogledd y Rhyl
W02000364,Newport 018,8590,Newport,0.7443538998835856,1,1,1,1,1,1,1,1,407,Pillgwenlly & Docks,Pilgwenlli a'r Dociau
W02000087,Wrexham 010,7178,Wrexham,0.8620785734187796,0.8620785734187796,1,1,1,1,1,1,1,406,Caia Park,Parc Caia
W02000379,Cardiff 013,6532,Cardiff,1,1,1,1,1,1,1,1,1,405,St Mellons West,Gorllewin Llaneirwg
W02000178,Swansea 011,9518,Swansea,0.5641941584366463,1,1,1,1,1,1,1,1,404,Penderry,Penderi
W02000047,Denbighshire 006,5489,Denbighshire,0.6910184004372382,0.6910184004372382,0.6910184004372382,1,1,1,1,1,1,403,Rhyl South West,De-orllewin y Rhyl
W02000356,Newport 010,5351,Newport,1,1,1,1,1,1,1,1,1,402,Ringland,Ringland
W02000415,Merthyr Tydfil 008,9672,Merthyr Tydfil,0.707196029776675,0.8467741935483871,1,1,1,1,1,1,1,401,"Gurnos, Trefechan & Pontsticill","Gurnos, Trefechan a Phontsticill"
W02000407,Cardiff 041,6772,Cardiff,0.8031600708800946,0.8031600708800946,0.8031600708800946,1,1,1,1,1,1,400,Caerau East,Dwyrain Caerau
W02000218,Bridgend 001,6996,Bridgend,0.37778730703259006,0.7968839336763865,0.7968839336763865,1,1,1,1,1,1,399,Caerau,Caerau
W02000408,Cardiff 042,7380,Cardiff,0.7626016260162601,1,1,1,1,1,1,1,1,398,South Riverside,De Glanyrafon
W02000264,Rhondda Cynon Taf 013,5895,Rhondda Cynon Taf,0.44223918575063614,0.7535199321458863,0.7535199321458863,1,1,1,1,1,1,397,Tylorstown,Tylorstown
W02000382,Cardiff 016,6092,Cardiff,0.7371963230466185,1,1,1,1,1,1,1,1,396,Trowbridge,Trowbridge
W02000404,Cardiff 038,6173,Cardiff,0.5305362060586425,0.7894054754576381,1,1,1,1,1,1,1,395,Splott,Y Sblot
W02000214,Neath Port Talbot 016,9926,Neath Port Talbot,0.6984686681442676,0.8609711867821882,0.8609711867821882,0.8609711867821882,0.8609711867821882,0.8609711867821882,0.8609711867821882,1,1,394,Sandfields,Sandfields
W02000209,Neath Port Talbot 011,5174,Neath Port Talbot,0.30981832238113644,0.7616930807885581,1,1,1,1,1,1,1,393,Glyncorrwg & Blaengwynfi,Glyncorrwg a Blaengwynfi
W02000167,Carmarthenshire 026,10530,Carmarthenshire,0.39078822412155745,0.7078822412155745,1,1,1,1,1,1,1,392,Llanelli South,De Llanelli
W02000349,Newport 003,8074,Newport,0.49752291305424823,0.8446866485013624,0.8446866485013624,1,1,1,1,1,1,391,Bettws,Betws
W02000290,Caerphilly 001,8789,Caerphilly,0.3202867220389123,0.7086130390260553,1,1,1,1,1,1,1,390,"Rhymney, Pontlottyn & Abertysswg","Rhymni, Pontlotyn a Abertyswg"
W02000259,Rhondda Cynon Taf 008,5984,Rhondda Cynon Taf,0.2404745989304813,0.727774064171123,1,1,1,1,1,1,1,389,Penrhiw-ceibr,Penrhiw-ceibr
W02000206,Neath Port Talbot 008,6718,Neath Port Talbot,0.6046442393569514,0.8036618041083656,0.8036618041083656,0.8036618041083656,0.8036618041083656,0.8036618041083656,0.8036618041083656,1,1,388,Neath Town,Tref Castell-nedd
W02000215,Neath Port Talbot 017,9766,Neath Port Talbot,0.6296334220765922,0.8108744624206431,0.8108744624206431,0.8108744624206431,0.8108744624206431,1,1,1,1,387,Aberafan,Aberafan
W02000402,Cardiff 036,11965,Cardiff,0.4904304220643544,1,1,1,1,1,1,1,1,386,Adamsdown,Adamsdown
W02000260,Rhondda Cynon Taf 009,5781,Rhondda Cynon Taf,0.5504238021103616,0.5504238021103616,0.7612869745718733,1,1,1,1,1,1,385,Ferndale & Maerdy,Glynrhedynog a Maerdy
W02000411,Cardiff 045,6754,Cardiff,0.4409238969499556,0.7246076399170862,1,1,1,1,1,1,1,384,Caerau West,Gorllewin Caerau
W02000325,Torfaen 003,7546,Torfaen,0.2529817121653856,1,1,1,1,1,1,1,1,383,Trefethin & Pen-y-garn,Trefddyn a Phen-y-garn
W02000211,Neath Port Talbot 013,8002,Neath Port Talbot,0.20257435641089727,0.8209197700574856,0.8209197700574856,1,1,1,1,1,1,382,Briton Ferry,Llansawel
W02000286,Merthyr Tydfil 004,6953,Merthyr Tydfil,0.48684021285775925,0.7402560046023299,1,1,1,1,1,1,1,381,Gelli-deg & Town,Gelli-deg a'r Dref
